symbol
PMEL
DSCC1
CRABP1
IRS4
DMKN
SKA3
SYNE4
ADD2
SLC7A3
NUDT10
EFS
PTPRZ1B3GALT1
ZNF589
CA14
VRTN
ZIK1
CCDC177
KCNJ11
BTBD17
USP44
VASH2
CDC7
ZIC5
POU3F1
CDC25A
AIF1L
GPRC5B
SBK1
MYCN
FABP7
SCNN1A
ZFP42
PLP1
ALPLTDGF1P3
PHC1
NANOG
EPHA1
PODXL
TDGF1
USP44
POLR3G
LECT1
ZFP42
F11R
EPCAM
MT1G
CD9
PRDM14
DIRAS1
FOXH1
POU5F1
ENHO
CCNE1
SALL4
ZSCAN10
DNMT3B
RBPMS2
POLR3G
L1TD1
NANOG
TDGF1
TRIM71
FOXD3
PIF1
PRDM14
TERF1
ESPL1
ZFP42
SOX13
PAX6
CDH11
COL2A1
ACTA2
