symbol
LAMB1
ZBTB18
PAX6
EPHA2
GAS1
TMEM107
GBX2
FZD6
HES1
F2R
GADD45A
GADD45B
JAG1
FAT1
EPHA2
NUAK2
CDKN1C
EFNB1
NOTCH1
COL2A1
HEY1
NR2F2
DKK3
FLRT3
FZD1
EFNB2
CDH6
CDH2
COL3A1
DPP7
C16orf58
COPZ1
TCF25
BCAT2
CCNDBP1
ASXL1
KDELC2
SERPINF1
BMP4
BMF
HSD17B8
METRN
GAS1
CRELD1
EFNB2
COL2A1
MXRA8
NR2F2
IER5L
AHNAK
FLRT3
MSX1
EFEMP1
PAQR7
GSTK1
GYPC
MXRA7
B4GALT1
MMP11
MYRF
ARSD
CLDN1
IRX3
WLS
OAF
IGF2
H19
WFIKKN1
THBS1
ANXA2
ANXA1
COL4A1
JAG1
AHSA2
CNN1
CALD1
ITGAV
PDGFRB
MT1E
TM4SF18
MTMR11
LRRC17
NT5E
GREM1
CAV1
ANGPTL4
COL5A1
COL8A1
PLAUR
ADAM19
ENG
MAF
TIMP3
